,Unnamed: 0,class,text,Offensive
61,288,1,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",1
62,292,1,"""@_TommyCollins: @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this.",1
63,296,1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",1
64,303,1,"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",1
65,304,1,"""@airmaxlad1: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",1
66,306,1,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",1
67,308,1,"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",1
68,313,2,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",0
69,315,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",1
70,321,2,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha",0
71,323,2,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",0
72,329,2,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta",0
73,330,1,"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",1
74,331,2,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",0
75,332,1,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",1
76,336,2,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",0
77,340,1,"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1
78,341,2,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P""",0
79,343,2,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg""",0
80,349,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",1
81,351,2,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven",0
82,356,2,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook",0
83,358,1,"""@leikant: This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies",1
84,362,1,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard",1
85,364,2,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",0
86,369,1,"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh",1
87,370,2,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?",0
88,372,2,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",0
89,376,1,"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",1
90,379,2,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn",0
91,380,2,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",0
92,383,1,"""@royalswagg_: using y=mx+b to find the slope of that ass""",1
93,384,2,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",0
94,385,1,"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear",1
95,386,1,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah",1
96,387,1,"""@rugbysocklad: Lads being Lads! http://t.co/f3UJcYJ4OF"" fuck yeah. I love scally lad action. Hot trainers too.",1
97,391,2,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo",0
98,392,1,"""@sniffsockslad: Need these sox http://t.co/xydb1RchXh"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks",1
99,395,2,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT",0
100,397,2,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",0
101,409,1,"""@wiganzlad: ""@MarkyCrumb: ""@gmail_shorts: I'm on my way http://t.co/MqcZuXlbtT"" love a #chav""hot"" sexy scally fucker.",1
102,414,2,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395",0
103,424,2,"""Bae"" sounds like such a ghetto word. Use something else",0
104,428,2,"""Brownies for my brownie"" I love this movie. &#128517;",0
105,432,2,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS",0
106,436,1,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd",1
107,442,1,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV",1
108,449,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",0
109,451,1,"""Get your ass back to Detroit ya fuckin' wigger!""",1
110,461,2,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx",0
111,466,2,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!",0
112,473,2,"""I found a new way to chug you have to open your mouth alot"" #shitallysays",0
113,494,2,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd",0
114,495,1,"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",1
115,499,1,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol""",1
116,509,2,"""Is that an albino Mexican?""
""No dad, he's Asian.""",0
117,513,1,"""It's the dykes"" -hunter dyke with a dyke http://t.co/LGtw3AWMeh",1
118,514,1,"""Julia Roberts, you're a ho"" @LaurenGardner8 #NottingHill",1
119,515,2,"""Just follow the yellow brick twitter.""",0
120,517,2,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod",0
121,518,1,"""Let's do nips ahoy and spank me maybe""",1
122,519,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",1
123,522,1,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded""",1
124,525,2,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids.""",0
125,528,1,"""My nips are freeeeezing...and that's not okay because they're slicing through my bra....""
&#128514;",1
126,537,2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;",0
127,539,2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game.",0
128,540,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",1
129,546,1,"""Searching"" the incredible story of 1 white man's quest to find the ingredients necessary to make Caribbean Jerked Chicken in redneck land",1
130,548,1,"""Shake that Bear ... aka two rednecks having sex on a dead bear""",1
131,551,1,"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam",1
132,553,1,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1
133,555,1,"""So he's a good football player...but he still acts like a nig""",1
134,560,1,"""That girl is plain looking borderline ugly &amp; chunky"". Hey at least she's got a nice smile &amp; a great personality.",1
135,561,2,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted""",0
136,562,2,"""The water isn't yellow, I'm a healthy student""",0
137,567,1,"""They have some ghetto ass bands"" * gets snuck* &#128514;&#128514;&#128514;&#128514;",1
138,568,2,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch""",0
139,570,1,"""This is for my ghetto motherfuckers"" -Missy Elliott",1
140,571,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26",0
141,572,1,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black",1
142,575,2,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr""
- Robert Frost Giant",0
143,577,1,"""Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad..",1
144,583,0,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",1
145,587,0,"""Who the fuck you callin jiggaboo, nigga?!""",1
146,588,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",1
147,597,2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....",0
148,598,2,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;""",0
149,603,0,"""You ain't gunna do shit spear chucker""",1
150,606,1,"""You are a cunt""",1
151,608,1,"""You can take someone out of the ghetto, but you can't take the ghetto out of them.""",1
152,609,1,"""You don't like us colored folks, what the he'll you're not colored you white fucks"" &#128514;&#128514;&#128514;&#128514;",1
153,611,2,"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo",0
154,613,2,"""You look like little birds help you get dressed in the morning""",0
155,615,1,"""You talk like a fag and your shit's retarded. But that's cool scro, lot's of tards out there living total kick-ass lives!""",1
156,616,1,"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes",1
157,618,1,"""You're fucked up"" 
No shit you dumb ass cunt now go post pictures if your flat ass titties on ig slut",1
158,619,1,"""Your a queer"". &#128530;&#128530;&#128530;&#128530;",1
159,621,2,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other.""",0
160,636,2,"""hick and raver is a venn diagram that has a very large intersection""",0
161,639,1,"""if she can suck your dick with a dip in, she's not only a keeper but a true redneck woman."" - Kim's Dad.",1
162,647,0,"""poor whitey"" http://t.co/3UkKeyznz8",1
163,649,1,"""this weekends going to be fabulous"" naa man, you're seeing nae cunt. If you do they'll be koed in 2 seconds flat. Hate u. #fuckgm",1
164,652,2,"""when rappers say twat it makes me feel weird"" &#128514;&#128514;&#128514;&#128557;",0
165,655,1,"""you're being a cunt right now"" -@RQ978",1
166,660,2,#2013Faves RT &#8220;@grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221;,0
167,663,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",1
168,666,1,"#AnnCoulter still calling #Obama a 'community organizer' re: #Syria. Well, she is still #cunt as well. So what?",1
169,668,2,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?,0
170,670,2,"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. http://t.co/S6hY2eVoaT",0
171,674,2,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",0
172,676,2,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?",0
173,677,2,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,0
174,678,2,#BlessJesus The #Crown of HIS head to the sole of HIS feet,0
175,679,2,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,0
176,680,2,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong,0
177,681,1,#Bout2GoCrazy #AintNoLevelz2DisShit hungrier then a phat ho on a diet IG http://t.co/nzuBUC2QpR,1
178,683,0,#California is full of white trash,1
179,684,0,#California is full of white trash who moved from #Oklahoma,1
180,687,2,"#CommonQuestionIGet

Why uou so ghetto?",0
181,689,1,"#Crack that whip, cracker",1
182,690,0,#DTLA is trash because of non-Europeans are allowed to live there.,1
183,693,1,"#DegenerateArtist Ain't fuckin' AROUND with #Allahs #retard #crest&gt; I GOT BLESSED by Jesus and you are NOT NEXT, you fake ass TEXT&gt;",1
184,694,1,"#DegenerateArtist Can't do it ALL on CARD&gt; I'm not a French Muslim retard&gt; I don't expect or demand a child bride yard, cuz I got MAN DICK&gt;",1
185,696,1,"#DegenerateArtist KNOWS words&gt; Bo Jingo dangle fan slang ho, ting pang lick drum swing flick alarm bic&gt; But you can't hear fire can you?",1
186,697,2,"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;",0
187,698,2,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous",0
188,699,0,#Dutch farmers are white trash.,1
189,700,0,#Dutch people who live outside of #NewYorkCity are all white trash.,1
190,701,2,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw,0
191,702,2,#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.,0
192,703,2,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers,0
193,704,2,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth,0
194,707,2,"#FemaleLogic is worse than the jig, I'm convinced",0
195,708,2,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees,0
196,712,2,"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,",0
197,713,2,#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP,0
198,714,2,#HappyColumbusDay !!!! If is wasn't for #America.................#KarlMarx would never have thought of sharing #colonialism with #injuns !!!,0
199,715,2,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........,0
200,717,2,#HellYeah RT @BaconGawd #No RT @HuffingtonPost Happy Fall! Pumpkin Spice Oreos are here http://t.co/2prvsKantE http://t.co/hleYm0YC29,0
201,718,2,"#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider, vegan sliders, brownies! http://t.co/BW9uYtLQu1",0
202,719,2,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.",0
203,723,1,"#IStandWithRand Wise up RINO pussies, real leaders like Rand, Cruz, Lee, Bachmann etc. actually exist. Fight or go home. #TeaParty",1
204,724,2,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;,0
205,725,2,"#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers",0
206,729,2,"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny",0
207,730,1,#IndigenousPeoplesDay HAHA!!! You fuckin' retarded commies!!!!! Hunter Biden loves snortin' that PYGMIE FAIRY DUST don't he? #liberals,1
208,731,0,#Iowa is full of white trash,1
209,732,2,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it,0
210,735,1,#Lingo so A1 niccas be Tryn talk like me,1
211,738,0,#Minnesota is full of white trash,1
212,740,1,#NL Q.U.E.E.N. And reminded: I still don't get why Janelle Monae is so perplexed that people think she's queer...,1
213,741,2,"#NP ""Centuries"" ~FOB",0
214,742,1,#NationalCatDay ...sure. Celebrate over 1 BILLION bird deaths and blame it on #climatechange you fuckin' #commies.,1
215,743,2,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers,0
216,744,2,#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - http://t.co/R5wuXA9jB6,0
217,745,2,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,0
218,746,2,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,0
219,747,2,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6,0
220,750,2,#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW,0
221,751,2,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers,0
222,756,2,"#RadioFreeNorthwest 218
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
http://t.co/t9JyhAncPR",0
223,759,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,1
224,763,2,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!",0
225,765,2,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.,0
226,766,2,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost,0
227,767,2,#RuinAComedian @midnight Charlie Lapdance,0
228,768,1,#RuinADessert @midnight Fairy Queen. nomg&gt; I fucked #Obama panties again...............,1
229,769,1,#Shoutout to everybody that follow a nicca!!,1
230,770,1,#Shoutout to my #Exit47 niccas! #Salute,1
231,771,1,#Shoutout to my #MackTown niccas!,1
232,772,1,#Shoutout to my exit 47 niccas! #RealNiccaSalute,1
233,774,2,#Skating is for trash.,0
234,776,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,1
235,777,0,#SouthCarolina is full of white trash,1
236,779,2,#StopWhitePeople RT @ABC7: 9 cases of West Nile virus infections reported in Orange County this year; 105 dead birds found carrying virus,0
237,780,2,#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE,0
238,781,2,#THEBOONDOCKS at 10:30 my nicca!,0
239,782,2,#TRUTH RT @notashley: David is the Charlie Brown of #Scandal,0
240,792,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",1
241,793,0,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",1
242,795,1,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z,1
243,796,0,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",1
244,797,0,#Virginia is full of white trash.,1
245,798,2,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama,0
246,799,0,#WestVirginia is full of white trash.,1
247,800,2,#WhatImCraving Peanut Butter Oreos &lt;3,0
248,803,2,#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#Yankees 2015!!,0
249,804,2,#Yankees,0
250,805,2,#Yankees #FireCashman I don't want Arod back.,0
251,806,2,#Yankees #Jeter Let him play the entire inning. That's fitting.,0
252,807,2,#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!,0
